run_id,timestamp,stage,duration_s,lead_count,error_count
20260323_131607,2026-03-23T13:16:28.110531+00:00,aggregation,20.8,1782,0
20260323_131607,2026-03-23T13:17:37.466361+00:00,site_crawl,69.36,7,0
20260323_131607,2026-03-23T13:22:21.210004+00:00,deep_crawl,283.74,2713,0
20260323_131607,2026-03-23T17:44:29.612047+00:00,greyhat,4803.82,81,0
20260323_131607,2026-03-23T18:40:16.473809+00:00,enrichment,8285.72,2714,0
20260323_131607,2026-03-23T18:40:16.490532+00:00,pipeline_total,8659.77,2714,0
20260323_131607,2026-03-23T18:40:16.491430+00:00,_run_total,8659.77,2714,0
20260403_042724,2026-04-03T04:30:12.588170+00:00,aggregation,167.43,1791,0
20260403_042724,2026-04-03T04:31:33.451710+00:00,site_crawl,80.86,6,0
20260403_042724,2026-04-03T04:31:59.710509+00:00,greyhat,2.4,0,0
20260403_042724,2026-04-03T04:33:04.903906+00:00,enrichment,91.45,24,0
20260403_042724,2026-04-03T04:33:04.911060+00:00,pipeline_total,340.05,24,0
20260403_042724,2026-04-03T04:33:04.911826+00:00,_run_total,340.05,1791,0
